0, 0.5, 0.27, 
0.001, 0.5005, 0.527167, 
0.002, 0.501, 0.287667, 
0.003, 0.5015, 0.3815, 
0.004, 0.502, 0.182, 
0.005, 0.5025, 0.295833, 
0.006, 0.503, 0.706333, 
0.007, 0.5035, 0.786833, 
0.008, 0.504, 0.177333, 
0.009, 0.5045, 0.657833, 
0.01, 0.505, 0.315, 
0.011, 0.5055, 0.178833, 
0.012, 0.506, 0.192667, 
0.013, 0.5065, 0.643166, 
0.014, 0.507, 0.353666, 
0.015, 0.5075, 0.184166, 
0.016, 0.508, 0.221333, 
0.017, 0.5085, 0.551833, 
0.018, 0.509, 0.772333, 
0.019, 0.509499, 0.246166, 
0.02, 0.509999, 0.616666, 
0.021, 0.510499, 0.373833, 
0.022, 0.510999, 0.674332, 
0.023, 0.511499, 0.344832, 
0.024, 0.511999, 0.668666, 
0.025, 0.512499, 0.212499, 
0.026, 0.512999, 0.639665, 
0.027, 0.513498, 0.330165, 
0.028, 0.513998, 0.680665, 
0.029, 0.514498, 0.757831, 
0.03, 0.514998, 0.811664, 
0.031, 0.515498, 0.818831, 
0.032, 0.515997, 0.302664, 
0.033, 0.516497, 0.783164, 
0.034, 0.516997, 0.736997, 
0.035, 0.517496, 0.554163, 
0.036, 0.517996, 0.487996, 
0.037, 0.518496, 0.625162, 
0.038, 0.518995, 0.682329, 
0.039, 0.519495, 0.732828, 
0.04, 0.519995, 0.619995, 
0.041, 0.520494, 0.193828, 
0.042, 0.520994, 0.734327, 
0.043, 0.521493, 0.36816, 
0.044, 0.521993, 0.66866, 
0.045, 0.522492, 0.365826, 
0.046, 0.522992, 0.642992, 
0.047, 0.523491, 0.683491, 
0.048, 0.523991, 0.303991, 
0.049, 0.52449, 0.267824, 
0.05, 0.52499, 0.56499, 
0.051, 0.525489, 0.345489, 
0.052, 0.525988, 0.379322, 
0.053, 0.526488, 0.703154, 
0.054, 0.526987, 0.66032, 
0.055, 0.527486, 0.714153, 
0.056, 0.527985, 0.601319, 
0.057, 0.528485, 0.731818, 
0.058, 0.528984, 0.19565, 
0.059, 0.529483, 0.75615, 
0.06, 0.529982, 0.223315, 
0.061, 0.530481, 0.673814, 
0.062, 0.53098, 0.37098, 
0.063, 0.531479, 0.338146, 
0.064, 0.531978, 0.361978, 
0.065, 0.532477, 0.28581, 
0.066, 0.532976, 0.292976, 
0.067, 0.533475, 0.690142, 
0.068, 0.533974, 0.24064, 
0.069, 0.534473, 0.347806, 
0.07, 0.534971, 0.858305, 
0.071, 0.53547, 0.688804, 
0.072, 0.535969, 0.422636, 
0.073, 0.536468, 0.699801, 
0.074, 0.536966, 0.433633, 
0.075, 0.537465, 0.494132, 
0.076, 0.537963, 0.66463, 
0.077, 0.538462, 0.541795, 
0.078, 0.53896, 0.765627, 
0.079, 0.539459, 0.846126, 
0.08, 0.539957, 0.546624, 
0.081, 0.540456, 0.357122, 
0.082, 0.540954, 0.624287, 
0.083, 0.541452, 0.284786, 
0.084, 0.541951, 0.478617, 
0.085, 0.542449, 0.399116, 
0.086, 0.542947, 0.519614, 
0.087, 0.543445, 0.660112, 
0.088, 0.543943, 0.877277, 
0.089, 0.544441, 0.307775, 
0.09, 0.544939, 0.728273, 
0.091, 0.545437, 0.538771, 
0.092, 0.545935, 0.639268, 
0.093, 0.546433, 0.486433, 
0.094, 0.546931, 0.356931, 
0.095, 0.547429, 0.417429, 
0.096, 0.547926, 0.617926, 
0.097, 0.548424, 0.481757, 
0.098, 0.548922, 0.638922, 
0.099, 0.549419, 0.472753, 
0.1, 0.549917, 0.39325, 
0.101, 0.550414, 0.367081, 
0.102, 0.550912, 0.787578, 
0.103, 0.551409, 0.244742, 
0.104, 0.551906, 0.601906, 
0.105, 0.552404, 0.742404, 
0.106, 0.552901, 0.219567, 
0.107, 0.553398, 0.450065, 
0.108, 0.553895, 0.593895, 
0.109, 0.554392, 0.541059, 
0.11, 0.554889, 0.251556, 
0.111, 0.555386, 0.265386, 
0.112, 0.555883, 0.429216, 
0.113, 0.55638, 0.52638, 
0.114, 0.556877, 0.283543, 
0.115, 0.557373, 0.590707, 
0.116, 0.55787, 0.694537, 
0.117, 0.558367, 0.7717, 
